Pfam	domain_name	5mSIPHEX1_0	5mSIPHEX1_1	5mSIPHEX1_10	5mSIPHEX1_11	5mSIPHEX1_13	5mSIPHEX1_15	5mSIPHEX1_18	5mSIPHEX1_19	5mSIPHEX1_2	5mSIPHEX1_25	5mSIPHEX1_26	5mSIPHEX1_32	5mSIPHEX1_33	5mSIPHEX1_37	5mSIPHEX1_8	5mSIPHEX1_9	5mSIPHEX2_10	5mSIPHEX2_14	5mSIPHEX2_16	5mSIPHEX2_18	5mSIPHEX2_25	5mSIPHEX2_3	5mSIPHEX2_5	5mSIPHEX2_7	700mSIPHEX1_0	700mSIPHEX1_1	700mSIPHEX1_12	700mSIPHEX1_15	700mSIPHEX1_17	700mSIPHEX1_18	700mSIPHEX1_2	700mSIPHEX1_20	700mSIPHEX1_3	700mSIPHEX1_8	700mSIPHEX2_13	700mSIPHEX2_14	700mSIPHEX2_16	700mSIPHEX2_21	700mSIPHEX2_22	700mSIPHEX2_23	700mSIPHEX2_24	700mSIPHEX2_9
PF01565	FAD binding domain	9	3	4	4	7	2	1	2	3	4	2	4	2	2	7	1	9	4	2	4	8	2	2	7	3	4	2	2	2	5	3	4	4	4	4	2	5	2	3	2	3	4
PF00425	chorismate binding enzyme	1	1	2	2	1	2	1	2	2	2	1	2	1	2	1	1	1	2	2	2	1	2	2	1	0	2	3	2	3	2	2	2	2	2	2	3	2	2	2	3	1	2
PF04715	Anthranilate synthase component I, N terminal region	1	1	1	1	1	2	1	1	2	1	0	2	1	1	1	2	1	1	1	1	1	1	1	1	0	1	1	1	2	2	2	1	1	1	1	2	2	1	2	1	0	1
PF04055	Radical SAM superfamily	10	6	12	13	10	10	8	11	9	11	6	14	9	7	11	7	10	12	9	12	10	7	10	10	6	10	13	9	10	11	11	11	12	6	6	10	11	9	11	13	6	10
PF13458	Periplasmic binding protein	4	4	8	2	5	1	0	0	0	0	0	1	1	9	6	0	4	8	0	0	5	8	0	5	5	6	1	0	0	0	0	2	8	7	7	0	0	0	0	1	1	6
PF00725	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain	3	3	5	4	4	3	2	3	3	2	2	2	2	3	7	3	3	5	1	1	7	3	3	4	5	3	3	3	2	4	3	3	5	2	2	2	4	3	4	3	3	3
PF00378	Enoyl-CoA hydratase/isomerase	5	10	13	10	14	14	4	5	6	8	4	21	11	11	20	8	5	13	4	7	15	11	6	14	10	10	5	5	5	8	8	11	13	15	15	5	8	5	9	5	6	10
PF02737	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain	3	3	5	4	5	3	2	3	4	2	1	2	2	3	6	3	3	5	1	1	6	3	3	5	5	3	3	3	2	4	3	3	5	2	2	2	4	3	4	3	3	3
PF02600	Disulfide bond formation protein DsbB	1	1	1	1	2	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	2	2	1	0	1	0	1	1	1	1	0	0	0	1	1	1	0	0	1
PF07103	Protein of unknown function (DUF1365)	1	2	1	1	1	1	1	1	1	0	0	1	0	1	1	2	1	1	0	0	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0
