Pfam	domain_name	5mSIPHEX1_0	5mSIPHEX1_1	5mSIPHEX1_10	5mSIPHEX1_11	5mSIPHEX1_13	5mSIPHEX1_15	5mSIPHEX1_18	5mSIPHEX1_19	5mSIPHEX1_2	5mSIPHEX1_25	5mSIPHEX1_26	5mSIPHEX1_32	5mSIPHEX1_33	5mSIPHEX1_37	5mSIPHEX1_8	5mSIPHEX1_9	5mSIPHEX2_10	5mSIPHEX2_14	5mSIPHEX2_16	5mSIPHEX2_18	5mSIPHEX2_25	5mSIPHEX2_3	5mSIPHEX2_5	5mSIPHEX2_7	700mSIPHEX1_0	700mSIPHEX1_1	700mSIPHEX1_12	700mSIPHEX1_15	700mSIPHEX1_17	700mSIPHEX1_18	700mSIPHEX1_2	700mSIPHEX1_20	700mSIPHEX1_3	700mSIPHEX1_8	700mSIPHEX2_13	700mSIPHEX2_14	700mSIPHEX2_16	700mSIPHEX2_21	700mSIPHEX2_22	700mSIPHEX2_23	700mSIPHEX2_24	700mSIPHEX2_9
PF00745	Glutamyl-tRNAGlu reductase, dimerisation domain	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0
PF08388	Group II intron, maturase-specific domain	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	1	1	1	2	1	0	1	0	0	1	2	1	2	1	1	0
PF10986	Protein of unknown function (DUF2796)	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
PF04552	Sigma-54, DNA binding domain	0	0	1	0	0	1	0	1	1	1	1	1	1	0	0	2	0	1	1	1	0	0	1	0	0	0	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	0
PF04963	Sigma-54 factor, core binding domain	0	0	1	0	0	1	0	1	1	1	1	1	1	0	0	1	0	1	1	1	0	0	1	0	0	0	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	0
PF00309	Sigma-54 factor, Activator interacting domain (AID)	0	0	1	0	0	1	0	1	1	1	1	1	1	0	0	1	0	1	1	1	0	0	1	0	0	0	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	0
PF05990	Alpha/beta hydrolase of unknown function (DUF900)	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	3	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2
PF01326	Pyruvate phosphate dikinase, AMP/ATP-binding domain	0	0	2	1	0	1	1	0	1	1	0	1	1	1	0	0	0	3	0	1	0	1	0	0	0	0	1	1	2	1	1	1	2	0	0	2	1	1	1	1	2	0
PF10982	Protein of unknown function (DUF2789)	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
PF14321	Domain of unknown function (DUF4382)	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0
PF13593	SBF-like CPA transporter family (DUF4137)	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1
PF14347	Domain of unknown function (DUF4399)	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0
PF03748	Flagellar basal body-associated protein FliL	0	0	2	0	0	1	2	1	0	0	0	2	2	1	0	2	0	2	0	0	0	1	1	0	0	1	0	2	0	2	2	0	2	1	1	0	2	2	2	0	1	1
PF03861	ANTAR domain	0	0	1	1	0	0	1	1	0	1	0	2	0	1	1	1	0	1	0	1	1	1	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	0	0
PF03088	Strictosidine synthase	0	0	1	1	0	0	1	1	1	1	0	0	0	1	0	1	0	1	0	1	0	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	0	0
PF20067	Strictosidine synthase-like, N-terminal	0	0	1	1	0	0	1	1	1	1	0	0	0	1	0	1	0	1	0	1	0	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	0	0
PF01661	Macro domain	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PF09834	Predicted membrane protein (DUF2061)	0	0	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	1	0	0	1	0	0	0
PF09317	Acyl-CoA dehydrogenase, C-terminal, bacterial type	0	0	2	2	0	0	0	1	0	2	0	0	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	1	0	2	2	2	2	0	0	0	2	1	2	0	0	0
PF16933	Putative exopolysaccharide Exporter (EPS-E)	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
PF06293	Lipopolysaccharide kinase (Kdo/WaaP) family	0	0	1	3	0	0	0	0	0	2	1	0	0	0	1	2	0	1	0	2	1	0	0	0	0	0	1	0	0	1	1	3	1	0	0	0	1	0	1	1	1	0
PF12796	Ankyrin repeats (3 copies)	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	1	0	1	0	0	0	6	1	2	0	0	0	2	0	0	2	0	1	0	5	0	0
PF13637	Ankyrin repeats (many copies)	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0
PF11815	Domain of unknown function (DUF3336)	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	1	0	2	0
PF20332	Family of unknown function (DUF6627)	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	1	0	1	0
PF09984	Single cache domain 4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0
PF01903	CbiX	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1
PF01203	Type II secretion system (T2SS), protein N	0	0	1	1	0	1	0	1	1	1	0	1	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	0
PF02655	ATP-grasp domain	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
PF06295	Protein of unknown function (DUF1043)	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	1	0	1	0
PF01169	Uncharacterized protein family UPF0016	0	0	1	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0
PF04072	Leucine carboxyl methyltransferase	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0
PF12158	Protein of unknown function (DUF3592)	0	0	1	1	0	0	1	0	1	2	0	0	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	2	0	1	0	1	1	0	0	0	1	2	0	0	1	0
PF08338	Domain of unknown function (DUF1731)	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	1	2	1	0	0	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0
PF10675	Protein of unknown function (DUF2489)	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	0	0
PF18076	Formylglycinamide ribonucleotide amidotransferase N-terminal	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0
PF05166	YcgL domain	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	0
PF06996	Type VI secretion, TssG	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0
PF08411	Exonuclease C-terminal	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	1	1	0	1	0
PF14252	Domain of unknown function (DUF4347)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PF17963	Bacterial Ig domain	0	0	1	1	2	0	3	3	1	0	0	0	0	1	0	1	0	1	0	0	0	1	3	2	0	0	2	5	2	1	1	1	1	1	1	2	1	5	1	2	0	0
PF19078	Bacterial Ig-like domain	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0
PF14267	Domain of unknown function (DUF4357)	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF13727	CoA-binding domain	0	0	1	1	0	1	1	1	0	0	1	0	0	2	0	1	0	1	1	1	0	2	1	0	0	0	2	1	2	2	1	1	1	1	1	2	2	1	0	2	1	0
PF21320	Rv2258c-like winged HTH domain	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
PF11137	Protein of unknown function (DUF2909)	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	1	0	0	0
PF02551	Acyl-CoA thioesterase	0	0	1	1	0	1	0	1	1	1	0	1	1	1	1	0	0	1	0	1	2	1	1	0	1	0	0	1	0	1	2	1	1	0	0	0	1	1	2	0	0	0
PF02120	Flagellar hook-length control protein FliK	0	0	2	0	0	1	2	2	0	0	0	1	1	1	1	1	0	2	0	0	1	1	2	0	1	1	0	2	0	2	2	0	2	0	0	0	2	2	2	0	2	1
PF05954	Phage tail baseplate hub (GPD)	0	0	3	0	0	0	0	1	0	0	0	0	0	2	0	0	0	3	0	0	0	2	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	3	0
PF08367	Peptidase M16C associated	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	1	0
PF07295	Zinc-ribbon containing domain	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
PF04461	Protein of unknown function (DUF520)	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	0
PF09157	Pseudouridine synthase II TruB, C-terminal	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	0	0
PF03079	ARD/ARD' family	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0
PF07287	Acyclic terpene utilisation family protein AtuA	0	0	1	1	0	0	0	0	0	1	0	1	0	1	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0
PF19540	Family of unknown function (DUF6064)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
PF09948	Predicted metal-binding integral membrane protein (DUF2182)	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
PF16331	TolA binding protein trimerisation	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	0
PF21799	Mur ligase MurD-like, N-terminal domain	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	0
PF02561	Flagellar protein FliS	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	1	1	1	0	1	0
PF20914	DNA polymerase III subunit alpha, C-terminal domain	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	1	0	1	0
PF01939	Endonuclease NucS C-terminal domain	0	0	2	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
PF01610	Transposase	0	0	1	1	0	0	0	0	0	11	0	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0
PF11997	Domain of unknown function (DUF3492)	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
PF11734	TilS substrate C-terminal domain	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0
PF09179	TilS substrate binding domain	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	0
PF21327	GspA, peptidase C39-like domain	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
PF11390	NADH-dependant formate dehydrogenase delta subunit FdsD	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
PF06035	Bacterial transglutaminase-like cysteine proteinase BTLCP	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0
PF04536	TPM domain	0	0	1	1	0	0	0	0	0	2	2	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	2	0	3	0	0	2	1	0	0	3	0	0	0	2	1	0
PF11862	Domain of unknown function (DUF3382)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PF14789	Tetrahydrodipicolinate N-succinyltransferase middle	0	0	1	1	0	0	2	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0
PF17186	Lipocalin-like domain	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0	1	0	0	0
PF07143	CrtC N-terminal lipocalin domain	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0	1	0	0	0
PF02604	Antitoxin Phd_YefM, type II toxin-antitoxin system	0	0	2	0	0	0	2	0	1	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	4	0	2	0	0	0	0	2	3	0	0	0
PF20239	Family of unknown function (DUF6596)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0
PF09371	Tex-like protein N-terminal domain	0	0	1	1	0	0	1	1	1	1	1	2	0	1	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
PF16921	Tex protein YqgF-like domain	0	0	1	1	0	0	1	1	1	1	1	2	0	1	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
PF12836	Helix-hairpin-helix motif	0	0	2	2	0	0	2	2	2	2	2	1	0	1	0	2	0	2	2	2	1	1	2	0	0	1	2	2	2	2	2	2	2	1	1	2	2	2	2	2	0	1
PF17674	HHH domain	0	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
PF14341	PilX N-terminal	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	2	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	0
PF11749	Protein of unknown function (DUF3305)	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
PF13229	Right handed beta helix region	0	0	2	1	0	2	0	0	0	1	0	3	1	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	1	0
PF13638	PIN domain	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	0
PF04784	Protein of unknown function, DUF547	0	0	1	1	0	1	0	0	0	1	0	1	1	0	0	1	0	1	0	2	0	0	0	0	0	0	2	0	2	1	1	1	1	0	0	2	1	0	1	2	0	0
PF09290	Prokaryotic acetaldehyde dehydrogenase, dimerisation	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0
PF01957	NfeD-like C-terminal, partner-binding	0	0	1	1	0	1	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	1	0	0	0
PF04892	VanZ like family	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	1	0	0	1	0	0
PF00866	Ring hydroxylating beta subunit	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PF13195	Protein of unknown function (DUF4011)	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
PF13087	AAA domain	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1
PF18741	REase_MTES_1575	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
PF03527	RHS protein	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
PF05593	RHS Repeat	0	0	1	0	0	1	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
PF20148	Domain of unknown function (DUF6531)	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
PF08349	Protein of unknown function (DUF1722)	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0
PF20247	Domain of unknown function (DUF6602)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PF10082	Putative beta-barrel porin 2	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	1	0	1	1	0	2	0	0	0	1	1	0	0	1	0
PF13247	4Fe-4S dicluster domain	0	0	1	0	1	0	0	0	0	1	0	0	0	2	3	0	0	1	0	1	2	2	0	1	0	1	2	1	1	1	0	0	1	2	2	1	1	1	0	2	0	0
PF04262	Glutamate-cysteine ligase	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	0	0
PF09299	Mu transposase, C-terminal	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PF04351	Pilus assembly protein, PilP	0	0	1	0	0	0	1	1	1	1	0	0	0	0	1	1	0	1	0	1	1	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	0
PF12832	MFS_1 like family	0	0	1	1	0	0	2	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	1
PF20613	HipA-like kinase	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0
PF00719	Inorganic pyrophosphatase	0	0	1	1	0	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	0	0	1	0	0	0	2	1	1	1	1	1	1	0	0	1	1	1	1	2	0	0
PF05426	Alginate lyase	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	1	2	1	0	1	0	0	1	2	0	1	0	0	0
PF04400	(Na+)-NQR maturation NqrM	0	0	1	1	0	0	1	1	1	1	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	0
PF13646	HEAT repeats	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PF07040	Protein of unknown function (DUF1326)	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
PF20567	Family of unknown function (DUF6776)	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	0	0
PF13584	BatD DUF11 like domain	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	0
PF13559	Domain of unknown function (DUF4129)	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0
PF11992	TgpA N-terminal domain	0	0	1	1	0	0	2	2	1	1	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	2	0	1	1	1	1	0	0	0	1	2	1	0	1	0
PF13580	SIS domain	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	1	2	1	1	0	0	0	1	0	2	0	1	0
PF02378	Phosphotransferase system, EIIC	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PF02302	PTS system, Lactose/Cellobiose specific IIB subunit	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PF03618	Kinase/pyrophosphorylase	0	0	1	1	0	1	1	1	1	1	0	1	1	0	0	0	0	2	0	1	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	0
PF04958	Arginine N-succinyltransferase beta subunit	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	1	0
PF12694	Circularly permutated YpsA SLOG family	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
PF13688	Metallo-peptidase family M12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PF05708	Permuted papain-like amidase enzyme, YaeF/YiiX, C92 family	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	2	1	0	0	0	0	0
PF04203	Sortase domain	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0
PF05724	Thiopurine S-methyltransferase (TPMT)	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	1	0	1	0	1	0	0	1	0	1	1	1	0	0
PF12790	Type VI secretion lipoprotein, VasD, EvfM, TssJ, VC_A0113	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0
PF06719	AraC-type transcriptional regulator N-terminus	0	0	2	0	0	0	0	1	0	0	0	1	0	0	1	1	0	2	0	0	0	0	1	0	1	0	0	1	1	1	1	0	2	0	0	1	1	1	1	0	0	0
PF20027	Family of unknown function (DUF6435)	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	1	1	0	1	1	0	0
PF12626	Polymerase A arginine-rich C-terminus	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	0	0
PF04773	FecR protein	0	0	1	1	0	2	1	1	0	0	0	2	1	0	0	0	0	1	1	0	0	0	1	0	0	0	3	2	2	0	1	2	1	0	0	2	0	2	1	2	1	0
