INTERPRO	domain_name	5mSIPHEX1_0	5mSIPHEX1_1	5mSIPHEX1_10	5mSIPHEX1_11	5mSIPHEX1_13	5mSIPHEX1_15	5mSIPHEX1_18	5mSIPHEX1_19	5mSIPHEX1_2	5mSIPHEX1_25	5mSIPHEX1_26	5mSIPHEX1_32	5mSIPHEX1_33	5mSIPHEX1_37	5mSIPHEX1_8	5mSIPHEX1_9	5mSIPHEX2_10	5mSIPHEX2_14	5mSIPHEX2_16	5mSIPHEX2_18	5mSIPHEX2_25	5mSIPHEX2_3	5mSIPHEX2_5	5mSIPHEX2_7	700mSIPHEX1_0	700mSIPHEX1_1	700mSIPHEX1_12	700mSIPHEX1_15	700mSIPHEX1_17	700mSIPHEX1_18	700mSIPHEX1_2	700mSIPHEX1_20	700mSIPHEX1_3	700mSIPHEX1_8	700mSIPHEX2_13	700mSIPHEX2_14	700mSIPHEX2_16	700mSIPHEX2_21	700mSIPHEX2_22	700mSIPHEX2_23	700mSIPHEX2_24	700mSIPHEX2_9
IPR000271	Large ribosomal subunit protein bL34	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1
IPR020939	Large ribosomal subunit protein bL34, conserved site	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1
IPR005829	Sugar transporter, conserved site	3	2	1	1	4	3	2	4	2	2	0	4	1	3	4	2	3	1	0	2	4	3	5	4	0	3	1	4	1	3	3	1	1	2	2	1	3	4	3	1	0	4
IPR004812	Drug resistance transporter Bcr/CmlA subfamily	2	1	1	1	2	1	1	1	1	1	0	1	1	2	2	1	2	1	0	1	2	2	1	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
IPR001958	Tetracycline resistance protein TetA/multidrug resistance protein MdtG-like	1	2	0	2	2	1	0	0	0	2	0	1	1	1	3	0	1	1	0	2	2	1	0	2	0	0	1	0	1	0	1	2	0	1	1	1	0	0	1	0	0	0
IPR013766	Thioredoxin domain	11	6	20	16	14	15	14	13	8	15	14	18	13	7	15	15	11	21	12	15	16	7	14	14	8	8	20	13	23	20	13	15	20	6	6	23	20	13	13	20	12	8
IPR041205	Copper resistance protein ScsC, N-terminal	1	1	0	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IPR012336	Thioredoxin-like fold	3	1	4	2	6	4	2	3	1	3	3	4	2	0	2	2	3	4	3	3	1	0	4	6	3	1	3	2	2	5	3	3	4	0	0	2	5	2	3	2	2	1
IPR006143	RND efflux pump, membrane fusion protein	4	0	12	8	1	6	6	9	6	12	2	9	5	2	3	11	4	16	4	12	3	2	8	1	2	6	7	9	12	14	13	11	12	3	2	12	14	9	12	5	5	6
IPR032317	RND efflux pump, membrane fusion protein, barrel-sandwich domain	3	0	9	7	1	2	7	10	4	13	3	5	2	1	2	13	3	12	4	14	1	1	8	1	2	6	7	10	13	12	8	11	9	2	1	13	12	10	8	5	3	6
IPR005940	Anthranilate phosphoribosyl transferase	2	1	1	2	1	1	1	2	2	2	0	1	0	1	1	2	2	1	1	2	1	2	2	1	0	1	1	1	1	2	2	2	1	0	0	1	2	1	2	1	0	1
IPR035902	Nucleoside phosphorylase/phosphoribosyltransferase catalytic domain superfamily	4	2	1	2	2	1	1	3	2	4	0	2	0	1	2	2	3	1	1	3	2	2	3	2	1	2	2	2	2	2	2	2	1	0	0	2	2	2	2	1	0	2
IPR000312	Glycosyl transferase, family 3	3	2	1	2	2	1	1	2	1	4	0	2	0	1	2	2	2	1	1	3	2	1	2	2	1	2	2	2	2	2	1	2	1	0	0	2	2	2	1	1	0	2
IPR017459	Glycosyl transferase family 3, N-terminal domain	4	2	1	2	2	1	1	3	2	4	0	2	0	1	2	1	3	1	1	4	2	2	3	2	1	2	2	2	2	2	2	2	1	0	0	2	2	2	2	1	0	2
IPR036320	Glycosyl transferase family 3, N-terminal domain superfamily	4	2	1	2	2	1	1	3	2	4	0	2	0	1	2	1	3	1	1	4	2	2	3	2	1	2	2	2	2	2	2	2	1	0	0	2	2	2	2	1	0	2
IPR001282	Glucose-6-phosphate dehydrogenase	1	2	1	0	1	1	1	1	1	0	0	1	0	1	2	2	1	1	0	0	1	1	0	1	2	1	0	1	0	1	1	0	1	0	0	0	1	1	1	0	1	1
IPR022674	Glucose-6-phosphate dehydrogenase, NAD-binding	1	1	1	0	1	1	1	1	1	0	0	1	0	1	2	1	1	1	0	0	1	1	0	1	2	1	0	1	0	1	1	0	1	0	0	0	1	1	1	0	1	1
IPR022675	Glucose-6-phosphate dehydrogenase, C-terminal	1	2	1	0	1	1	1	1	1	0	0	1	0	1	2	1	1	1	0	0	1	1	0	1	1	1	0	1	0	1	1	0	1	0	0	0	1	1	1	0	1	1
IPR019796	Glucose-6-phosphate dehydrogenase, active site	1	1	1	0	1	1	1	1	1	0	0	1	0	1	2	1	1	1	0	0	1	1	0	1	1	1	0	1	0	1	1	0	1	0	0	0	1	1	1	0	1	1
IPR005672	Phosphate transport system permease protein PstA	1	1	1	2	1	0	1	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	1	0	1	1	2	1	0	0	0	1	1	1	0	0	0
IPR024573	Domain of unknown function DUF3333	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0
IPR006840	Glutathione-specific gamma-glutamylcyclotransferase	1	0	1	1	2	0	0	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	0	2	0	1	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	1
IPR036568	Gamma-glutamyl cyclotransferase-like superfamily	2	1	3	2	3	0	0	1	0	2	0	1	0	2	3	1	2	3	0	2	3	2	1	3	1	1	0	0	0	1	1	2	3	1	1	0	1	0	1	0	1	1
IPR017856	Integrase-like, N-terminal	1	0	2	2	1	1	1	1	2	2	0	1	1	0	1	1	1	2	1	2	1	0	1	1	0	1	1	1	1	1	1	2	2	0	0	1	1	1	1	1	2	1
IPR026564	Transcriptional regulator TACO1-like, domain 3	1	1	2	2	1	1	1	1	2	2	0	1	1	0	1	1	1	2	1	2	1	0	1	1	0	1	1	1	1	1	1	2	2	0	0	1	1	1	1	1	2	1
IPR048300	TACO1/YebC-like, second and third domains	1	1	2	2	1	1	1	1	2	2	0	1	1	0	1	1	1	2	1	2	1	0	1	1	0	1	1	1	1	1	1	2	2	0	0	1	1	1	1	1	2	1
IPR049083	TACO1/YebC-like, N-terminal domain	1	0	2	2	1	1	1	1	2	2	0	1	1	0	1	1	1	2	1	2	1	0	1	1	0	1	1	1	1	1	1	2	2	0	0	1	1	1	1	1	2	1
IPR002876	Transcriptional regulator TACO1-like	1	1	2	2	1	1	1	1	2	2	0	1	1	0	1	1	1	2	1	2	1	0	1	1	0	1	1	1	1	1	1	2	2	0	0	1	1	1	1	1	2	1
IPR029072	YebC-like	2	2	2	2	2	1	1	1	2	2	0	1	1	1	2	1	2	2	1	2	2	0	1	2	0	2	1	1	1	1	1	2	2	0	0	1	1	1	1	1	2	2
IPR000238	Ribosome-binding factor A	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
IPR023799	Ribosome-binding factor A domain superfamily	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
IPR020053	Ribosome-binding factor A, conserved site	1	0	1	0	1	1	0	0	0	0	0	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	0	0	0	1	1	0	1	1	1	0	1	0	1	0	0	1
IPR015946	K homology domain-like, alpha/beta	7	6	8	9	8	6	5	7	4	8	6	5	5	6	7	4	7	8	7	8	8	6	7	8	5	7	10	7	12	7	9	10	8	4	4	12	7	7	8	10	5	7
IPR044492	P-type ATPase, haloacid dehalogenase domain	2	1	2	1	1	0	2	1	0	5	1	2	1	0	1	0	2	4	2	4	1	0	1	1	0	3	3	1	7	2	0	2	2	1	0	7	2	1	0	0	1	2
IPR001757	P-type ATPase	3	1	5	2	2	1	2	2	1	6	2	3	1	0	2	0	3	7	2	5	3	0	1	2	0	4	4	1	8	2	1	3	3	2	0	8	2	1	1	1	2	2
IPR006121	Heavy metal-associated domain, HMA	2	0	6	2	3	2	2	2	1	10	3	2	1	0	3	2	2	8	5	5	2	0	0	3	1	3	11	4	11	5	1	2	5	0	0	11	5	4	1	4	4	3
IPR023299	P-type ATPase, cytoplasmic domain N	3	1	5	2	2	1	2	2	1	6	2	3	1	0	2	0	3	7	2	5	2	0	1	2	0	4	4	1	8	2	1	3	3	1	0	8	2	1	1	1	2	2
IPR018303	P-type ATPase, phosphorylation site	3	1	4	1	2	1	2	2	1	5	2	3	1	0	1	0	3	6	2	4	1	0	1	2	0	4	4	1	8	2	1	3	3	1	0	8	2	1	1	1	2	2
IPR027256	P-type ATPase, subfamily IB	2	1	4	2	2	1	2	1	1	6	1	2	1	0	2	0	2	5	2	5	2	0	0	2	0	3	4	1	7	2	1	3	3	1	0	7	2	1	1	1	2	2
IPR036163	Heavy metal-associated domain superfamily	2	0	7	2	3	2	2	3	1	12	5	2	2	0	3	2	2	9	7	8	2	0	0	3	1	3	12	5	13	5	1	2	6	0	0	13	5	5	1	4	5	3
IPR006122	Heavy metal-associated domain, copper ion-binding	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
IPR017969	Heavy-metal-associated, conserved site	2	0	2	2	2	0	0	0	0	6	1	0	0	0	1	2	2	2	2	2	1	0	0	2	1	1	6	2	6	4	1	2	2	0	0	6	4	2	1	3	2	1
IPR023298	P-type ATPase, transmembrane domain superfamily	3	1	4	2	2	2	2	2	1	7	1	3	1	0	2	0	3	7	2	6	3	0	1	2	0	4	4	1	8	2	1	2	3	1	0	8	2	1	1	1	2	2
IPR008250	P-type ATPase, A domain superfamily	3	0	4	2	2	1	2	2	1	6	2	3	1	0	2	0	3	7	2	5	3	0	1	2	0	4	4	1	8	2	1	3	3	1	0	8	2	1	1	1	2	3
IPR013762	Integrase-like, catalytic domain superfamily	7	2	8	6	16	11	3	12	7	12	5	6	8	5	19	8	6	11	6	15	9	6	7	13	2	6	10	10	10	26	17	10	5	9	9	10	25	10	14	8	4	4
IPR044068	Core-binding (CB) domain	3	2	4	4	3	5	2	3	4	8	2	3	4	1	8	4	3	6	4	10	3	1	2	3	0	3	6	6	5	11	8	5	4	1	1	5	11	6	6	4	3	3
IPR002104	Integrase, catalytic domain	7	2	7	6	16	10	3	10	7	12	4	5	8	4	17	6	6	9	6	14	9	5	5	13	2	6	8	10	10	19	14	10	5	9	9	10	18	10	11	6	4	4
IPR004107	Integrase, SAM-like, N-terminal	3	2	5	3	1	2	1	3	4	3	2	3	3	1	4	2	2	4	3	5	3	1	2	1	0	2	3	3	3	7	6	4	4	1	1	3	7	3	5	3	3	2
IPR011010	DNA breaking-rejoining enzyme, catalytic core	10	2	8	6	16	11	3	13	7	12	6	8	9	6	22	8	8	12	7	15	10	7	8	13	2	7	11	10	11	26	18	10	6	10	10	11	25	10	14	9	5	5
IPR023009	Tyrosine recombinase XerC/XerD	2	2	2	2	1	2	0	0	2	2	1	2	2	1	2	1	2	2	1	2	2	1	0	1	0	2	2	0	2	2	2	2	2	1	1	2	2	0	2	2	1	2
IPR010998	Integrase/recombinase, N-terminal	6	2	8	6	11	9	3	9	5	12	4	3	8	4	10	4	4	9	6	13	5	4	4	10	1	3	10	9	9	13	10	8	6	5	5	9	13	9	7	8	5	3
IPR005265	Protoporphyrinogen oxidase HemJ-like	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
IPR043141	Large ribosomal subunit protein uL10-like domain superfamily	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1
IPR047865	Large ribosomal subunit protein uL10, bacterial type	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1
IPR001790	Large ribosomal subunit protein uL10	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1
IPR022973	Large ribosomal subunit protein uL10, bacterial	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1
IPR002363	Large ribosomal subunit protein uL10, conserved site, bacteria	1	1	0	1	1	1	0	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1
IPR020449	Transcription regulator HTH, AraC- type	3	0	14	17	2	5	13	15	5	9	1	4	2	4	5	3	3	16	1	9	1	4	12	2	1	1	6	13	3	4	2	19	14	0	0	3	4	13	2	6	7	1
IPR018060	DNA binding HTH domain, AraC-type	6	4	31	27	7	13	26	22	6	18	2	9	4	12	14	9	6	35	2	19	10	12	19	7	5	5	19	26	17	13	7	32	31	5	5	17	13	26	9	17	16	4
IPR002156	Ribonuclease H domain	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	2	1	1	1	0	0	1	2	1	1	1	1	1
IPR022892	Ribonuclease HI	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	1
IPR033753	Glycine cleavage system H-protein/Simiate	1	1	1	1	1	1	1	1	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IPR003016	2-oxo acid dehydrogenase, lipoyl-binding site	3	3	2	3	3	4	4	2	2	2	3	4	1	2	3	5	3	2	2	3	3	1	2	3	1	3	4	3	3	5	4	2	2	1	1	3	5	3	4	4	1	3
IPR011053	Single hybrid motif	7	8	9	8	8	7	9	5	6	9	7	11	3	6	8	12	7	11	6	10	8	5	6	8	4	9	7	9	7	11	7	10	9	3	3	7	11	9	7	7	5	9
IPR017453	Glycine cleavage system H-protein, subgroup	1	1	1	1	1	1	1	1	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IPR002930	Glycine cleavage system H-protein	1	1	1	1	1	1	1	1	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IPR000089	Biotin/lipoyl attachment	7	8	9	7	8	7	9	4	5	8	6	9	3	5	8	8	7	10	5	9	8	4	5	8	3	9	6	8	6	8	7	9	9	2	2	6	8	8	7	6	5	9
IPR030995	Thiosulfate oxidation carrier complex protein SoxZ	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR014880	Sulphur oxidation protein SoxZ	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IPR013783	Immunoglobulin-like fold	11	2	17	10	5	7	5	7	14	5	19	10	3	5	8	17	12	19	25	7	8	6	6	5	4	11	31	11	39	27	22	7	16	3	2	40	27	11	23	33	12	10
IPR038026	MtlR-like superfamily	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
IPR025285	Domain of unknown function DUF4145	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
IPR043133	GTP cyclohydrolase I, C-terminal/NADPH-dependent 7-cyano-7-deazaguanine reductase	2	1	3	2	2	3	2	2	3	2	2	3	2	1	1	3	2	3	2	2	1	1	2	2	1	2	4	3	4	4	4	2	3	1	1	4	4	3	3	4	1	2
IPR006157	Dihydroneopterin aldolase/epimerase domain	1	1	1	1	2	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	0	1
IPR001314	Peptidase S1A, chymotrypsin family	1	0	0	2	0	2	0	0	0	1	0	2	2	1	2	0	1	0	0	1	2	1	0	0	1	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0
IPR001254	Serine proteases, trypsin domain	1	0	0	2	1	2	0	0	0	1	0	2	2	1	3	0	1	0	0	1	3	1	0	1	1	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0
IPR018114	Serine proteases, trypsin family, histidine active site	1	0	0	2	1	2	0	0	0	1	0	2	2	1	4	0	1	0	0	1	3	1	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0
IPR043504	Peptidase S1, PA clan, chymotrypsin-like fold	2	0	0	2	2	3	0	0	3	1	0	2	3	3	8	3	2	0	0	1	6	3	0	2	1	0	0	0	0	3	3	2	0	2	2	0	3	0	3	0	0	0
IPR004491	Heat shock protein HslU	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	1
IPR038973	DNA mismatch repair protein MutL/Mlh/Pms-like	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	3	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
IPR020667	DNA mismatch repair protein, MutL	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
IPR014721	Small ribosomal subunit protein uS5 domain 2-type fold, subgroup	11	8	13	11	11	11	10	12	12	11	10	9	10	7	11	9	10	17	13	14	11	6	12	11	3	10	15	10	14	15	13	12	13	6	6	14	15	10	13	15	9	10
IPR014790	MutL, C-terminal, dimerisation	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	2	1	0	1	1	0	1	1	1	1	0	0	1	1	0	0	1	0	1	0	1	1	1
IPR013507	DNA mismatch repair protein, S5 domain 2-like	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
IPR002099	DNA mismatch repair protein MutL/Mlh/PMS	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	3	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
IPR014762	DNA mismatch repair, conserved site	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
IPR042121	MutL, C-terminal domain, regulatory subdomain	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	1	0	1	1	0	1	1	1	1	1	0	1	1	0	0	1	1	1	0	1	1	1
IPR042120	MutL, C-terminal domain, dimerisation subdomain	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	1	0	1	1	0	1	1	1	1	1	0	1	1	0	0	1	1	1	0	1	1	1
IPR037198	MutL, C-terminal domain superfamily	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	1	0	1	1	0	1	1	1	1	1	0	1	1	0	0	1	1	1	0	1	1	1
IPR004254	AdipoR/Haemolysin-III-related	1	0	1	1	0	1	1	1	1	1	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0
IPR010275	Protein of unknown function DUF882	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1
IPR009045	Hedgehog signalling/DD-peptidase zinc-binding domain superfamily	2	1	0	0	3	0	0	2	1	0	0	3	2	1	3	1	2	1	0	0	3	0	2	3	1	2	4	2	3	3	1	0	0	0	0	3	3	2	1	4	0	2
IPR002562	3'-5' exonuclease domain	3	2	2	2	3	3	2	3	2	2	1	3	1	2	3	2	3	2	1	2	3	2	3	3	1	3	1	3	2	2	2	2	2	0	0	2	2	3	2	1	1	3
IPR004536	Selenophosphate synthetase	1	0	1	1	0	1	2	0	1	1	0	1	1	1	0	0	1	1	0	1	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1
IPR017584	Pyridine nucleotide-disulphide oxidoreductase family protein, N-terminal	1	0	1	1	0	1	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1
IPR036680	Sporulation-like domain superfamily	3	0	4	5	3	2	5	4	2	5	2	2	0	2	3	4	3	4	2	5	3	2	2	3	2	2	2	5	3	5	4	5	4	1	1	3	5	5	3	2	4	2
IPR007730	Sporulation-like domain	3	0	4	5	3	2	5	3	2	5	2	2	0	3	3	3	3	4	2	5	3	3	2	3	2	2	3	5	3	4	4	5	4	2	2	3	4	5	3	3	4	2
IPR005807	SecE subunit of protein translocation complex, bacterial-like	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1
IPR001901	Protein translocase complex, SecE/Sec61-gamma subunit	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1
IPR038379	SecE superfamily	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1
IPR003265	HhH-GPD domain	3	1	3	3	3	3	3	1	2	3	2	3	1	3	3	2	3	4	3	3	3	3	1	3	2	2	3	2	2	3	2	3	3	1	1	2	3	2	3	3	1	2
IPR011257	DNA glycosylase	4	2	5	5	4	5	4	3	4	5	3	4	2	4	4	4	4	6	4	4	4	4	3	4	2	3	4	4	3	5	5	5	5	2	2	3	5	4	6	4	1	3
IPR004046	Glutathione S-transferase, C-terminal	5	5	8	4	4	8	3	4	2	4	0	6	4	2	5	5	5	9	0	4	6	2	5	4	3	3	0	5	0	6	5	5	8	1	1	0	6	5	5	0	6	3
IPR040079	Glutathione transferase family	5	4	12	6	6	8	3	2	3	6	0	9	4	3	7	5	4	13	0	6	6	3	3	6	3	8	0	4	0	8	8	7	12	3	3	0	9	4	8	0	7	8
IPR010987	Glutathione S-transferase, C-terminal-like	5	6	13	9	8	11	4	3	4	7	0	12	7	3	12	7	5	14	0	7	12	3	4	8	4	7	0	6	0	9	8	7	13	3	3	0	9	6	8	0	8	7
IPR005907	Glucose-1-phosphate thymidylyltransferase, short form	1	0	0	1	1	1	1	1	1	1	0	1	1	1	2	0	1	0	1	2	1	1	0	1	0	1	1	1	1	0	0	1	0	0	0	1	0	1	0	1	0	1
IPR002481	Ferric-uptake regulator	3	3	2	2	3	5	2	2	1	2	0	2	2	1	5	0	3	2	0	2	5	1	2	3	0	2	2	2	4	2	2	3	2	1	1	4	2	2	2	1	0	2
IPR014189	Quinone oxidoreductase PIG3	2	1	1	1	1	1	0	0	0	1	0	1	1	0	1	0	1	1	0	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1
IPR020843	Polyketide synthase, enoylreductase domain	10	8	11	7	11	12	3	4	5	6	0	13	13	7	15	5	8	13	0	6	13	7	4	10	8	10	1	4	5	5	9	11	11	3	3	5	5	4	9	1	7	9
IPR013216	Methyltransferase type 11	2	1	5	5	2	10	4	2	4	3	1	10	4	1	2	4	1	6	1	3	2	1	1	2	0	0	5	4	2	6	4	4	5	1	1	2	6	4	4	5	4	0
IPR004464	Fructose-1,6-bisphosphatase class 2/Sedoheputulose-1,7-bisphosphatase	1	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IPR001509	NAD-dependent epimerase/dehydratase	9	3	6	5	2	5	4	4	3	5	4	4	2	5	7	1	6	6	8	7	6	5	4	2	7	7	9	5	8	3	2	6	6	2	2	8	3	5	2	9	4	7
IPR036314	Manganese/iron superoxide dismutase, C-terminal domain superfamily	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	0	1	1	2	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
IPR001189	Manganese/iron superoxide dismutase	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	0	1	1	2	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
IPR019833	Manganese/iron superoxide dismutase, binding site	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	2	1	1	1	0	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
IPR019832	Manganese/iron superoxide dismutase, C-terminal	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	0	1	1	2	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
IPR019831	Manganese/iron superoxide dismutase, N-terminal	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	2	1	1	1	0	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
IPR036324	Manganese/iron superoxide dismutase, N-terminal domain superfamily	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	0	1	2	2	1	1	1	1	1	0	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2
IPR025166	Integrase, DNA-binding domain	3	0	1	2	3	5	0	2	1	3	0	1	5	1	5	1	1	1	0	6	1	1	1	3	0	1	0	1	0	1	2	2	0	1	1	0	1	1	2	0	0	1
IPR038488	Integrase, DNA-binding domain superfamily	3	0	1	2	3	5	0	2	1	3	0	1	5	1	6	1	1	1	0	6	1	1	1	3	0	1	0	1	0	1	2	2	0	1	1	0	1	1	2	0	0	1
IPR004839	Aminotransferase, class I/classII	11	14	12	10	12	4	10	4	9	10	4	9	4	9	16	5	11	12	6	11	15	8	5	12	11	13	8	9	7	7	9	11	12	4	4	7	7	9	9	8	10	13
IPR000796	Aspartate/other aminotransferase	1	1	0	0	1	0	0	0	1	0	0	1	1	1	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1
IPR013780	Glycosyl hydrolase, all-beta	6	0	4	1	0	3	1	1	5	0	0	3	1	0	6	7	6	5	0	0	6	0	0	0	0	9	4	1	5	13	8	0	4	0	0	5	13	1	8	4	3	7
IPR032091	Maltogenic Amylase, C-terminal	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	2	1	0	1	0	0	0	2	0	1	1	1	1
