INTERPRO	domain_name	5mSIPHEX1_0	5mSIPHEX1_1	5mSIPHEX1_10	5mSIPHEX1_11	5mSIPHEX1_13	5mSIPHEX1_15	5mSIPHEX1_18	5mSIPHEX1_19	5mSIPHEX1_2	5mSIPHEX1_25	5mSIPHEX1_26	5mSIPHEX1_32	5mSIPHEX1_33	5mSIPHEX1_37	5mSIPHEX1_8	5mSIPHEX1_9	5mSIPHEX2_10	5mSIPHEX2_14	5mSIPHEX2_16	5mSIPHEX2_18	5mSIPHEX2_25	5mSIPHEX2_3	5mSIPHEX2_5	5mSIPHEX2_7	700mSIPHEX1_0	700mSIPHEX1_1	700mSIPHEX1_12	700mSIPHEX1_15	700mSIPHEX1_17	700mSIPHEX1_18	700mSIPHEX1_2	700mSIPHEX1_20	700mSIPHEX1_3	700mSIPHEX1_8	700mSIPHEX2_13	700mSIPHEX2_14	700mSIPHEX2_16	700mSIPHEX2_21	700mSIPHEX2_22	700mSIPHEX2_23	700mSIPHEX2_24	700mSIPHEX2_9
IPR020628	Formate-tetrahydrofolate ligase, FTHFS, conserved site	0	1	1	0	1	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1
IPR021830	Protein of unknown function DUF3422	0	1	1	0	1	0	2	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	1	0	1	0	1	0	1	0	0	1	0	0	0	1	1	0	0	1	1
IPR005970	Light-independent protochlorophyllide reductase, N subunit	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPR023151	PEP-utilising enzyme, conserved site	0	1	3	2	1	1	1	1	1	2	0	0	0	1	1	1	0	4	0	2	1	1	1	1	0	0	0	2	0	2	2	2	3	1	1	0	2	2	2	0	2	0
IPR004307	TspO/MBR-related protein	0	1	0	0	0	1	0	0	1	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	2
IPR038330	TspO/MBR-related superfamily	0	1	0	0	0	1	0	0	1	0	1	1	1	0	2	0	0	0	1	0	1	0	0	0	0	2	2	0	2	0	0	0	0	0	0	2	0	0	0	2	0	2
IPR001663	Aromatic-ring-hydroxylating dioxygenase, alpha subunit	0	1	1	0	1	1	0	0	1	0	0	2	1	1	4	0	0	1	0	0	3	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
IPR015879	Aromatic-ring-hydroxylating dioxygenase, alpha subunit, C-terminal domain	0	1	1	0	1	1	0	0	1	0	0	2	1	1	4	0	0	1	0	0	3	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
IPR009922	Protein of unknown function DUF1457	0	1	0	0	1	2	0	0	0	0	0	2	2	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IPR000771	Fructose-bisphosphate aldolase, class-II	0	1	1	1	1	0	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	1	1	0	1
IPR021120	KduI/IolB isomerase	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
