pathway	zr2502_1_R1	zr2502_10_R1	zr2502_11_R1	zr2502_12_R1	zr2502_13_R1	zr2502_14_R1	zr2502_15_R1	zr2502_17_R1	zr2502_18_R1	zr2502_19_R1	zr2502_2_R1	zr2502_20_R1	zr2502_21_R1	zr2502_22_R1	zr2502_23_R1	zr2502_24_R1	zr2502_25_R1	zr2502_26_R1	zr2502_27_R1	zr2502_28_R1	zr2502_29_R1	zr2502_3_R1	zr2502_30_R1	zr2502_31_R1	zr2502_32_R1	zr2502_33_R1	zr2502_34_R1	zr2502_35_R1	zr2502_36_R1	zr2502_37_R1	zr2502_38_R1	zr2502_39_R1	zr2502_4_R1	zr2502_40_R1	zr2502_41_R1	zr2502_42_R1	zr2502_43_R1	zr2502_44_R1	zr2502_45_R1	zr2502_46_R1	zr2502_47_R1	zr2502_48_R1	zr2502_49_R1	zr2502_5_R1	zr2502_50_R1	zr2502_51_R1	zr2502_52_R1	zr2502_53_R1	zr2502_54_R1	zr2502_6_R1	zr2502_7_R1	zr2502_8_R1	zr2502_9_R1
CALVIN-PWY	620.6881972988843	1495.4840244769084	681.8796498905907	1110.8904992504679	391.2534593317584	1170.2801088371439	1505.062878096741	873.1628268680189	2157.526308146942	989.2940653569653	1061.8817579297809	902.9201150578456	1461.6507959830865	509.8387579837033	660.0559920335926	1532.1558863898483	1298.8435630442718	2165.5117289259483	1203.5345873913593	1867.920427766837	1588.4250205853891	1223.1818181818182	2012.9504346143854	2138.4928614430523	1469.1755329373066	1130.3051046441785	1860.2240748013635	1072.5808771872314	1049.2812257012326	1671.8992480573745	1788.6488081810958	1266.7133081381205	2265.25730787331	2149.0531704376804	1860.9886402831364	1559.840773957242	1519.3888015106672	922.6916074902679	1506.9367158687528	2115.6252957814118	1752.4301492087925	2218.5545662728678	2235.4380657544652	1516.1054010119585	1756.0708825423892	800.9554232986837	1711.6344968191559	3015.504629702665	1784.664678746645	1817.106843493734	1681.8556784073007	2649.9311703102267	1803.819230224995
CATECHOL-ORTHO-CLEAVAGE-PWY	0.0	250.1371158392435	0.0	340.9112903225806	0.0	0.0	0.0	152.80819498410457	353.5338842975207	0.0	0.0	142.58823529411765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	193.41176470588235	0.0	190.58823529411765	99.47193073823462	85.17481606723379	33.00616758485871	0.0	0.0	333.992382981207	163.44903293993306	254.88958695413046	188.06417482245905	289.01593050241485	272.2426313541222	10.438238121311675	0.0	0.0	0.0	0.0	0.0	271.7916219119227	0.0	333.1764705882353	70.04819277108435	0.0	238.81225554106908	361.2468870759983
CENTBENZCOA-PWY	0.0	0.0	250.0	405.0	0.0	191.0	348.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.00000000000001	90.0	116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.0	0.0	0.0	0.0	155.0	0.0	0.0	0.0	0.0	345.0	162.0	0.0	122.0
CENTFERM-PWY	0.0	0.0	0.0	0.0	0.0	591.2215876409877	806.519014058857	0.0	44.95820239285796	0.0	0.0	0.0	65.36059185491371	74.92051040484637	35.32452943322162	340.0946946006655	278.9914757246563	504.91927532219614	54.611154012390756	0.0	149.4062836618609	0.0	351.6601921228868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.65905063713939	0.0	0.0	634.724212187537	0.0	0.0	0.0	0.0	106.27834579029572	520.4449288935967	650.7935713391483	676.7784441996455	0.0	0.0	239.59976961658512	240.43321291558448	0.0	836.0013973847388	434.4274699416344	382.08998681987924	0.0	548.439973756921	379.02962127227937
COA-PWY	636.0	1309.0	665.0	1033.0	373.0	1085.18	1451.62	817.0000000000001	2026.9999999999998	972.5000000000001	1196.0	862.0	1419.5800000000002	478.53	628.36	1572.5	1265.0	2069.33	1104.67	1745.0000000000002	1500.0	1196.0	1874.17	2036.0000000000002	1364.0	935.9999999999999	1723.5	900.0	982.0000000000001	1357.2287731616211	1498.4299999999996	1042.432012046575	2147.0	2002.9999999999998	1512.36	1345.4980650723107	1228.71	798.5695677652009	1242.52	1732.5	1541.36	2028.9999999999998	1911.1699999999998	1432.0	1641.0	735.0	1397.0	2561.0	1634.0000000000002	1652.9999999999998	1413.0	2373.0	1615.0
COBALSYN-PWY	434.8616695804196	809.9299589105188	422.1870657402458	645.555512195122	0.0	617.1615744658593	760.1271990841119	408.51415797317435	1184.2375920791349	202.44958267748189	511.74176594253674	421.40765314818714	793.654320119747	251.02293601984184	314.05389180708096	648.5677643917326	382.8168951627803	1100.180945597654	388.2157122156869	802.1155556528428	618.3014823989497	801.0516160154366	783.3744277937407	830.8876593742546	812.6216628519962	701.1636190928521	277.78601047918335	586.2673808461042	357.50573514077166	1147.6652500043106	1151.835771369939	831.0756624305383	1084.790690144831	1005.6231142304437	999.2921785142888	852.9112710004031	724.5369261291265	772.5738190159166	720.2689705005757	1111.3706659035001	766.0023442210984	1206.1385337736222	462.49352840400667	1175.5605976927334	1258.6892993683769	455.9432860703556	841.1964268826263	1943.7753346130162	643.8318191766007	1120.749774596173	1162.3081104594817	1078.5427629561852	801.3341930421794
CODH-PWY	260.76	0.0	469.7773064687169	805.9801488833747	208.82239382239382	716.277302417174	1085.2283904926392	0.0	388.5515527950311	0.0	899.1450719822813	0.0	393.4450333761464	0.0	128.66247616357086	284.8262910798122	573.7032640949556	1434.489067842516	299.50598914129563	878.4640826873385	1094.6924428822497	1132.339072847682	1031.1632181557013	841.9904761904762	814.4117647058823	0.0	497.8996244452031	0.0	573.9234972677596	0.0	275.94155130740495	500.26581602032337	695.3142857142857	1187.9115479115478	0.0	198.35996771589993	0.0	0.0	0.0	813.4084957553388	571.9767018565708	891.4374342797055	338.0474227841872	1142.2334172963895	1566.430778551954	509.7176470588236	440.06672519754176	1902.3607562595812	852.5937328202309	1245.3928148440584	512.9826366559486	0.0	386.5758091993186
COLANSYN-PWY	206.24964047236406	0.0	468.34561143951004	740.8672344262479	0.0	676.9481444586243	991.3511061828615	266.5837717811326	791.653560217308	560.8345617404152	1006.0914264209289	313.7598116463708	255.5987919181311	0.0	0.0	1030.544498583224	1008.644015108287	1678.7444288723484	0.0	1035.9671998882754	833.1038623366243	955.9657919989228	1436.5761459359226	1461.8803387642108	958.1393925285166	0.0	709.3827890395132	223.99727418092408	474.31758923570334	351.6094118998725	654.8173567561158	67.40017694575798	1107.022430173737	1132.049612503732	337.2894449204451	716.2820061895495	0.0	209.31353877711254	504.68339138341696	1008.0457052044636	954.7920237711326	1647.8930813248003	859.959296657442	949.8644836165541	1452.869448161907	735.9287604483992	939.2739122816498	1501.8461127506612	1263.3067110714906	1129.6109968005037	629.2993522163075	764.878355796855	422.27894673605755
COMPLETE-ARO-PWY	710.7359486662233	1497.0084641354474	679.5319173959874	1116.4566665966272	419.06390933520265	1128.9151744028934	1482.7358160013084	944.5472404147669	2381.9814420214266	1093.6628188344505	1380.2758157148523	1022.9480532000974	1584.3033632399242	539.6232753669603	701.1232959893382	1764.5123984646052	1166.7520286099482	2093.0067037258427	1210.1102453048163	1980.468489238849	1645.068259029875	1321.8190620921748	2064.3068254005043	2189.093515858339	1548.015702317743	1091.497415417932	1808.7445650698476	1045.4528346946404	1146.6641097868264	1583.846945298887	1744.9259353503708	1214.767174356348	2462.51729241943	2106.7681387749003	1760.5434144832948	1547.6613228589895	1401.3557278767785	943.2459906896195	1471.0016191172413	1955.9132743590656	1636.9111723070732	1864.9050273145351	2060.074565884249	1638.742938507441	1762.7635862980123	563.1524745384239	1574.146535046644	2844.8617798542978	1687.9683648458458	1869.3403032917515	1631.1265271801526	2596.016958231673	1834.1983054536365
CRNFORCAT-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	349.5909353385874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	529.5551541058924	0.0	461.7720049560933	0.0	0.0	0.0	0.0	0.0	424.0134146090169	0.0	0.0	0.0	0.0	0.0
